Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Chall,Succ,Succ%,Managers,year
Chicago White Sox,1669628,20613,27.9,29.2,103,104,0,1,9,"$140,725,951",02:41:00,40,16,40%,Grifol,2023
Cincinnati Reds,2038302,25164,26.8,27.7,103,104,0,1,3,"$77,877,833",02:47:00,53,21,39%,Bell,2023
Cleveland Guardians,1834068,22643,26.7,26.1,97,97,0,2,9,"$70,114,729",02:39:00,41,23,56%,Francona,2023
Colorado Rockies,2607935,32197,28.2,29.7,113,115,0,1,7,"$155,645,682",02:41:00,38,19,50%,Black,2023
Detroit Tigers,1612876,19912,27.4,27.7,102,103,0,1,5,"$119,236,836",02:38:00,37,12,32%,Hinch,2023
Houston Astros,3052347,37683,28.8,29.2,99,98,0,3,9,"$240,388,766",02:45:00,28,18,64%,Baker,2023
Kansas City Royals,1307052,16136,26.3,29.1,101,103,0,1,4,"$88,186,975",02:38:00,33,21,63%,Quatraro,2023
Los Angeles Angels,2640575,32600,28.6,28,104,104,0,3,13,"$218,537,055",02:44:00,28,6,21%,Nevin,2023
Los Angeles Dodgers,3837079,47371,30.9,28.1,102,99,0,5,12,"$227,091,667",02:43:00,39,19,48%,Roberts,2023
Miami Marlins,1162819,14356,29.4,27.6,102,103,0,2,15,"$114,351,500",02:38:00,29,21,72%,Schumaker,2023
Milwaukee Brewers,2551347,31498,27.7,29.3,99,98,0,2,11,"$138,288,760",02:40:00,29,14,48%,Counsell,2023
Minnesota Twins,1974124,24372,28.5,29,101,101,0,2,8,"$137,798,640",02:42:00,34,16,47%,Baldelli,2023
New York Mets,2573555,31772,28.9,31.9,97,96,0,2,13,"$208,427,344",02:45:00,27,10,37%,Showalter,2023
New York Yankees,3269016,40358,28.5,29.1,102,101,0,2,12,"$259,417,008",02:42:00,30,18,60%,Boone,2023
Oakland Athletics,832352,10276,27.1,28,93,96,0,1,5,"$51,230,000",02:44:00,39,19,48%,Kotsay,2023
Philadelphia Phillies,3052605,37686,28.4,29.8,100,99,0,2,12,"$241,362,606",02:44:00,36,18,50%,Thomson,2023
Pittsburgh Pirates,1630624,20131,27.3,27.6,99,101,0,2,5,"$72,407,500",02:40:00,41,17,41%,Shelton,2023
San Diego Padres,3271554,40390,28.4,30.7,94,94,0,2,15,"$236,200,139",02:46:00,39,17,43%,Melvin,2023
Seattle Mariners,2690418,33215,27.8,27.4,94,93,0,3,9,"$128,155,663",02:43:00,35,16,45%,Servais,2023
San Francisco Giants,2500153,30866,28.5,30,96,96,0,2,11,"$177,920,416",02:39:00,46,26,56%,Kapler and Correa,2023
St. Louis Cardinals,3241091,40013,27.5,29.7,99,99,0,1,7,"$174,086,450",02:43:00,46,24,52%,Marmol,2023
Tampa Bay Rays,1440301,17781,26.8,28.5,97,96,0,4,7,"$75,441,212",02:38:00,55,26,47%,Cash,2023
Texas Rangers,2533044,31272,28.3,30.4,105,104,0,6,11,"$248,537,867",02:40:00,29,11,37%,Bochy,2023
Toronto Blue Jays,3021904,37307,28.8,30.6,99,99,0,5,16,"$211,190,269",02:45:00,52,18,34%,Schneider,2023
Washington Nationals,1865832,23035,26.8,28,96,98,0,1,3,"$99,211,578",02:41:00,29,22,75%,Martinez,2023
Arizona Diamondbacks,245957,35137,28.3,28.9,100,101,0,0,8,"$141,771,715",02:47:00,4,3,75%,Lovullo,2024
Atlanta Braves,123397,41132,28.5,31.6,101,101,0,0,14,"$231,535,000",02:44:00,0,NA,NA,Snitker,2024
Baltimore Orioles,127583,21264,27.5,29.1,96,96,0,0,7,"$101,448,215",02:36:00,3,1,33%,Hyde,2024
Boston Red Sox,NA,NA,27.3,29.7,99,99,0,0,3,"$167,050,000",02:43:00,3,3,100%,Cora,2024
Chicago Cubs,206870,34478,28.4,29.1,103,102,0,0,6,"$204,930,000",02:47:00,4,3,75%,Counsell,2024
Chicago White Sox,105155,21031,28.6,28.7,104,105,0,0,4,"$112,933,334",02:27:00,1,1,100%,Grifol,2024
Cincinnati Reds,168877,28146,27.3,29.9,104,105,0,0,2,"$77,623,334",02:44:00,2,0,0%,Bell,2024
Cleveland Guardians,NA,NA,26.4,28.1,99,99,0,0,4,"$74,146,428",02:38:00,6,3,50%,Vogt,2024
Colorado Rockies,103203,34401,28.5,28.7,99,99,0,0,3,"$125,125,000",02:47:00,0,NA,NA,Black,2024
Detroit Tigers,87414,29138,27.5,29,102,102,0,0,2,"$85,263,333",02:40:00,1,1,100%,Hinch,2024
Houston Astros,244755,34965,29.2,29.4,101,99,0,0,8,"$243,791,666",02:42:00,2,0,0%,Espada,2024
Kansas City Royals,122410,17487,27.6,29.4,103,104,0,0,4,"$99,425,000",02:27:00,2,1,50%,Quatraro,2024
Los Angeles Angels,128116,42705,28.4,28.8,100,101,0,0,6,"$130,324,845",02:45:00,3,2,66%,Washington,2024
